Image,Mask
D:\Data\brats18\train/Image/1_0_0.npy,D:\Data\brats18\train/Mask/1_0_0.npy
D:\Data\brats18\train/Image/1_0_1.npy,D:\Data\brats18\train/Mask/1_0_1.npy
D:\Data\brats18\train/Image/1_0_10.npy,D:\Data\brats18\train/Mask/1_0_10.npy
D:\Data\brats18\train/Image/1_0_100.npy,D:\Data\brats18\train/Mask/1_0_100.npy
D:\Data\brats18\train/Image/1_0_102.npy,D:\Data\brats18\train/Mask/1_0_102.npy
D:\Data\brats18\train/Image/1_0_103.npy,D:\Data\brats18\train/Mask/1_0_103.npy
D:\Data\brats18\train/Image/1_0_105.npy,D:\Data\brats18\train/Mask/1_0_105.npy
D:\Data\brats18\train/Image/1_0_106.npy,D:\Data\brats18\train/Mask/1_0_106.npy
D:\Data\brats18\train/Image/1_0_108.npy,D:\Data\brats18\train/Mask/1_0_108.npy
D:\Data\brats18\train/Image/1_0_109.npy,D:\Data\brats18\train/Mask/1_0_109.npy
D:\Data\brats18\train/Image/1_0_111.npy,D:\Data\brats18\train/Mask/1_0_111.npy
D:\Data\brats18\train/Image/1_0_112.npy,D:\Data\brats18\train/Mask/1_0_112.npy
D:\Data\brats18\train/Image/1_0_114.npy,D:\Data\brats18\train/Mask/1_0_114.npy
D:\Data\brats18\train/Image/1_0_115.npy,D:\Data\brats18\train/Mask/1_0_115.npy
D:\Data\brats18\train/Image/1_0_117.npy,D:\Data\brats18\train/Mask/1_0_117.npy
D:\Data\brats18\train/Image/1_0_118.npy,D:\Data\brats18\train/Mask/1_0_118.npy
D:\Data\brats18\train/Image/1_0_12.npy,D:\Data\brats18\train/Mask/1_0_12.npy
D:\Data\brats18\train/Image/1_0_120.npy,D:\Data\brats18\train/Mask/1_0_120.npy
D:\Data\brats18\train/Image/1_0_121.npy,D:\Data\brats18\train/Mask/1_0_121.npy
D:\Data\brats18\train/Image/1_0_123.npy,D:\Data\brats18\train/Mask/1_0_123.npy
D:\Data\brats18\train/Image/1_0_124.npy,D:\Data\brats18\train/Mask/1_0_124.npy
D:\Data\brats18\train/Image/1_0_13.npy,D:\Data\brats18\train/Mask/1_0_13.npy
D:\Data\brats18\train/Image/1_0_15.npy,D:\Data\brats18\train/Mask/1_0_15.npy
D:\Data\brats18\train/Image/1_0_16.npy,D:\Data\brats18\train/Mask/1_0_16.npy
D:\Data\brats18\train/Image/1_0_18.npy,D:\Data\brats18\train/Mask/1_0_18.npy
D:\Data\brats18\train/Image/1_0_19.npy,D:\Data\brats18\train/Mask/1_0_19.npy
D:\Data\brats18\train/Image/1_0_21.npy,D:\Data\brats18\train/Mask/1_0_21.npy
D:\Data\brats18\train/Image/1_0_22.npy,D:\Data\brats18\train/Mask/1_0_22.npy
D:\Data\brats18\train/Image/1_0_24.npy,D:\Data\brats18\train/Mask/1_0_24.npy
D:\Data\brats18\train/Image/1_0_25.npy,D:\Data\brats18\train/Mask/1_0_25.npy
D:\Data\brats18\train/Image/1_0_27.npy,D:\Data\brats18\train/Mask/1_0_27.npy
D:\Data\brats18\train/Image/1_0_28.npy,D:\Data\brats18\train/Mask/1_0_28.npy
D:\Data\brats18\train/Image/1_0_3.npy,D:\Data\brats18\train/Mask/1_0_3.npy
D:\Data\brats18\train/Image/1_0_30.npy,D:\Data\brats18\train/Mask/1_0_30.npy
D:\Data\brats18\train/Image/1_0_31.npy,D:\Data\brats18\train/Mask/1_0_31.npy
D:\Data\brats18\train/Image/1_0_33.npy,D:\Data\brats18\train/Mask/1_0_33.npy
D:\Data\brats18\train/Image/1_0_34.npy,D:\Data\brats18\train/Mask/1_0_34.npy
D:\Data\brats18\train/Image/1_0_36.npy,D:\Data\brats18\train/Mask/1_0_36.npy
D:\Data\brats18\train/Image/1_0_37.npy,D:\Data\brats18\train/Mask/1_0_37.npy
D:\Data\brats18\train/Image/1_0_39.npy,D:\Data\brats18\train/Mask/1_0_39.npy
D:\Data\brats18\train/Image/1_0_4.npy,D:\Data\brats18\train/Mask/1_0_4.npy
D:\Data\brats18\train/Image/1_0_40.npy,D:\Data\brats18\train/Mask/1_0_40.npy
D:\Data\brats18\train/Image/1_0_42.npy,D:\Data\brats18\train/Mask/1_0_42.npy
D:\Data\brats18\train/Image/1_0_43.npy,D:\Data\brats18\train/Mask/1_0_43.npy
D:\Data\brats18\train/Image/1_0_45.npy,D:\Data\brats18\train/Mask/1_0_45.npy
D:\Data\brats18\train/Image/1_0_46.npy,D:\Data\brats18\train/Mask/1_0_46.npy
D:\Data\brats18\train/Image/1_0_48.npy,D:\Data\brats18\train/Mask/1_0_48.npy
D:\Data\brats18\train/Image/1_0_49.npy,D:\Data\brats18\train/Mask/1_0_49.npy
D:\Data\brats18\train/Image/1_0_51.npy,D:\Data\brats18\train/Mask/1_0_51.npy
D:\Data\brats18\train/Image/1_0_52.npy,D:\Data\brats18\train/Mask/1_0_52.npy
D:\Data\brats18\train/Image/1_0_54.npy,D:\Data\brats18\train/Mask/1_0_54.npy
D:\Data\brats18\train/Image/1_0_55.npy,D:\Data\brats18\train/Mask/1_0_55.npy
D:\Data\brats18\train/Image/1_0_57.npy,D:\Data\brats18\train/Mask/1_0_57.npy
D:\Data\brats18\train/Image/1_0_58.npy,D:\Data\brats18\train/Mask/1_0_58.npy
D:\Data\brats18\train/Image/1_0_6.npy,D:\Data\brats18\train/Mask/1_0_6.npy
D:\Data\brats18\train/Image/1_0_60.npy,D:\Data\brats18\train/Mask/1_0_60.npy
D:\Data\brats18\train/Image/1_0_61.npy,D:\Data\brats18\train/Mask/1_0_61.npy
D:\Data\brats18\train/Image/1_0_63.npy,D:\Data\brats18\train/Mask/1_0_63.npy
D:\Data\brats18\train/Image/1_0_64.npy,D:\Data\brats18\train/Mask/1_0_64.npy
D:\Data\brats18\train/Image/1_0_66.npy,D:\Data\brats18\train/Mask/1_0_66.npy
D:\Data\brats18\train/Image/1_0_67.npy,D:\Data\brats18\train/Mask/1_0_67.npy
D:\Data\brats18\train/Image/1_0_69.npy,D:\Data\brats18\train/Mask/1_0_69.npy
D:\Data\brats18\train/Image/1_0_7.npy,D:\Data\brats18\train/Mask/1_0_7.npy
D:\Data\brats18\train/Image/1_0_70.npy,D:\Data\brats18\train/Mask/1_0_70.npy
D:\Data\brats18\train/Image/1_0_72.npy,D:\Data\brats18\train/Mask/1_0_72.npy
D:\Data\brats18\train/Image/1_0_73.npy,D:\Data\brats18\train/Mask/1_0_73.npy
D:\Data\brats18\train/Image/1_0_75.npy,D:\Data\brats18\train/Mask/1_0_75.npy
D:\Data\brats18\train/Image/1_0_76.npy,D:\Data\brats18\train/Mask/1_0_76.npy
D:\Data\brats18\train/Image/1_0_78.npy,D:\Data\brats18\train/Mask/1_0_78.npy
D:\Data\brats18\train/Image/1_0_79.npy,D:\Data\brats18\train/Mask/1_0_79.npy
D:\Data\brats18\train/Image/1_0_81.npy,D:\Data\brats18\train/Mask/1_0_81.npy
D:\Data\brats18\train/Image/1_0_82.npy,D:\Data\brats18\train/Mask/1_0_82.npy
D:\Data\brats18\train/Image/1_0_84.npy,D:\Data\brats18\train/Mask/1_0_84.npy
D:\Data\brats18\train/Image/1_0_85.npy,D:\Data\brats18\train/Mask/1_0_85.npy
D:\Data\brats18\train/Image/1_0_87.npy,D:\Data\brats18\train/Mask/1_0_87.npy
D:\Data\brats18\train/Image/1_0_88.npy,D:\Data\brats18\train/Mask/1_0_88.npy
D:\Data\brats18\train/Image/1_0_9.npy,D:\Data\brats18\train/Mask/1_0_9.npy
D:\Data\brats18\train/Image/1_0_90.npy,D:\Data\brats18\train/Mask/1_0_90.npy
D:\Data\brats18\train/Image/1_0_91.npy,D:\Data\brats18\train/Mask/1_0_91.npy
D:\Data\brats18\train/Image/1_0_93.npy,D:\Data\brats18\train/Mask/1_0_93.npy
D:\Data\brats18\train/Image/1_0_94.npy,D:\Data\brats18\train/Mask/1_0_94.npy
D:\Data\brats18\train/Image/1_0_96.npy,D:\Data\brats18\train/Mask/1_0_96.npy
D:\Data\brats18\train/Image/1_0_97.npy,D:\Data\brats18\train/Mask/1_0_97.npy
D:\Data\brats18\train/Image/1_0_99.npy,D:\Data\brats18\train/Mask/1_0_99.npy
D:\Data\brats18\train/Image/1_100_0.npy,D:\Data\brats18\train/Mask/1_100_0.npy
D:\Data\brats18\train/Image/1_100_1.npy,D:\Data\brats18\train/Mask/1_100_1.npy
D:\Data\brats18\train/Image/1_100_10.npy,D:\Data\brats18\train/Mask/1_100_10.npy
